# $Header: /cvsroot/phpldapadmin/phpldapadmin/ldap_supported_oids.txt,v 1.1 2005/03/07 20:24:42 wurley Exp $

# If you find some reliable and more meaningful descriptions to this OIDS,
# then please let the phpldapadmin development know so that this file can be
# more descriptive.

1.2.826.0.1.334810.2.3		"LDAP_CONTROL_VALUESRETURNFILTER"
2.16.840.1.113531.18.2.3	"LDAP_C_SETLOCALSCOPE_OID"
2.16.840.1.113531.18.2.4	"Return operational attributes as well as user attributes"
2.16.840.1.113531.18.2.5	"Return only subentries"
2.16.840.1.113531.18.2.6	"LDAP_C_SETUSEALIAS_OID"
2.16.840.1.113531.18.2.7	"LDAP_C_SETPREFERCHAIN_OID"
2.16.840.1.113531.18.2.8	"LDAP_C_SETX500DN_OID"
2.16.840.1.113531.18.2.9	"LDAP_C_SETCOPYSHALLDO_OID"
2.16.840.1.113531.18.2.10	"LDAP_C_SETDONTMAPATTRS_OID"
2.16.840.1.113531.18.2.11	"Return normal entries as well as sub-entries"
2.16.840.1.113719.1.27.99.1	"Superior References"
2.16.840.1.113719.1.27.100.1	"ndsToLdapResponse"
2.16.840.1.113719.1.27.100.2	"ndsToLdapRequest"
2.16.840.1.113719.1.27.100.3	"createNamingContextRequest"
2.16.840.1.113719.1.27.100.4	"createNamingContextResponse"
2.16.840.1.113719.1.27.100.5	"mergeNamingContextRequest"
2.16.840.1.113719.1.27.100.6	"mergeNamingContextResponse"
2.16.840.1.113719.1.27.100.7	"addReplicaRequest"
2.16.840.1.113719.1.27.100.8	"addReplicaResponse"
2.16.840.1.113719.1.27.100.9	"refreshLDAPServerRequest"
2.16.840.1.113719.1.27.100.10	"refreshLDAPServerResponse"
2.16.840.1.113719.1.27.100.11	"removeReplicaRequest"
2.16.840.1.113719.1.27.100.12	"removeReplicaResponse"
2.16.840.1.113719.1.27.100.13	"namingContextEntryCountRequest"
2.16.840.1.113719.1.27.100.14	"namingContextEntryCountResponse"
2.16.840.1.113719.1.27.100.15	"changeReplicaTypeRequest"
2.16.840.1.113719.1.27.100.16	"changeReplicaTypeResponse"
2.16.840.1.113719.1.27.100.17	"getReplicaInfoRequest"
2.16.840.1.113719.1.27.100.18	"getReplicaInfoResponse"
2.16.840.1.113719.1.27.100.19	"listReplicaRequest"
2.16.840.1.113719.1.27.100.20	"listReplicaResponse"
2.16.840.1.113719.1.27.100.21	"receiveAllUpdatesRequest"
2.16.840.1.113719.1.27.100.22	"receiveAllUpdatesResponse"
2.16.840.1.113719.1.27.100.23	"sendAllUpdatesRequest"
2.16.840.1.113719.1.27.100.24	"sendAllUpdatesResponse"
2.16.840.1.113719.1.27.100.25	"requestNamingContextSyncRequest"
2.16.840.1.113719.1.27.100.26	"requestNamingContextSyncResponse"
2.16.840.1.113719.1.27.100.27	"requestSchemaSyncRequest"
2.16.840.1.113719.1.27.100.28	"requestSchemaSyncResponse"
2.16.840.1.113719.1.27.100.29	"abortNamingContextOperationRequest"
2.16.840.1.113719.1.27.100.30	"abortNamingContextOperationResponse"
2.16.840.1.113719.1.27.100.31	"Get Bind DN Request"
2.16.840.1.113719.1.27.100.32	"Get Bind DN Response"
2.16.840.1.113719.1.27.100.33	"Get Effective Privileges Request"
2.16.840.1.113719.1.27.100.34	"Get Effective Privileges Response"
2.16.840.1.113719.1.27.100.35	"Set Replication Filter Request"
2.16.840.1.113719.1.27.100.36	"Set Replication Filter Response"
2.16.840.1.113719.1.27.100.37	"Get Replication Filter Request"
2.16.840.1.113719.1.27.100.38	"Get Replication Filter Response"
2.16.840.1.113719.1.27.100.39	"Create Orphan Partition Request"
2.16.840.1.113719.1.27.100.40	"Create Orphan Partition Response"
2.16.840.1.113719.1.27.100.41	"Remove Orphan Partition Request"
2.16.840.1.113719.1.27.100.42	"Remove Orphan Partition Response"
2.16.840.1.113719.1.27.100.43	"Trigger Backlinker Request"
2.16.840.1.113719.1.27.100.44	"Trigger Backlinker Response"
2.16.840.1.113719.1.27.100.47	"Trigger Janitor Request"
2.16.840.1.113719.1.27.100.48	"Trigger Janitor Response"
2.16.840.1.113719.1.27.100.49	"Trigger Limber Request"
2.16.840.1.113719.1.27.100.50	"Trigger Limber Response"
2.16.840.1.113719.1.27.100.51	"Trigger Skulker Request"
2.16.840.1.113719.1.27.100.52	"Trigger Skulker Response"
2.16.840.1.113719.1.27.100.53	"Trigger Schema Synch Request"
2.16.840.1.113719.1.27.100.54	"Trigger Schema Synch Response"
2.16.840.1.113719.1.27.100.55	"Trigger Partition Purge Request"
2.16.840.1.113719.1.27.100.56	"Trigger Partition Purge Response"
2.16.840.1.113719.1.27.100.79	"Monitor Events Request"
2.16.840.1.113719.1.27.100.80	"Monitor Events Response"
2.16.840.1.113719.1.27.100.81	"Event Notification"
2.16.840.1.113719.1.27.101.1	"Duplicate Entry Request"
2.16.840.1.113719.1.27.101.2	"DuplicateSearchResult"
2.16.840.1.113719.1.27.101.3	"DuplicateEntryResponseDone"
2.16.840.1.113719.1.27.101.5	"Simple Password"
2.16.840.1.113719.1.27.101.6	"Forward Reference"
2.16.840.1.113719.1.142.100.1	"startFramedProtocolRequest"
2.16.840.1.113719.1.142.100.2	"startFramedProtocolResponse"
2.16.840.1.113719.1.142.100.3	"ReplicationUpdate"
2.16.840.1.113719.1.142.100.4	"endFramedProtocolRequest"
2.16.840.1.113719.1.142.100.5	"endFramedProtocolResponse"
2.16.840.1.113719.1.142.100.6	"lburpOperationRequest"
2.16.840.1.113719.1.142.100.7	"lburpOperationResponse"
2.16.840.1.113730.3.4		"Netscape LDAPv3 controls"
2.16.840.1.113730.3.4.2		"Manage DSA IT LDAPv3 control"
2.16.840.1.113730.3.4.3		"Persistent Search LDAPv3 control"
2.16.840.1.113730.3.4.4		"Netscape Password Expired LDAPv3 control"
2.16.840.1.113730.3.4.5		"Netscape Password Expiring LDAPv3 control"
2.16.840.1.113730.3.4.6		"Netscape NT Synchronization Client LDAPv3 control"
2.16.840.1.113730.3.4.7		"Entry Change Notification LDAPv3 control"
2.16.840.1.113730.3.4.8		"Transaction ID Request Control"
2.16.840.1.113730.3.4.9		"VLV Request LDAPv3 control"
2.16.840.1.113730.3.4.10	"VLV Response LDAPv3 control"
2.16.840.1.113730.3.4.11	"Transaction ID Response Control"
2.16.840.1.113730.3.4.12	"Proxied Authorization (version 1) control"
2.16.840.1.113730.3.4.13	"iPlanet Directory Server Replication Update Information Control"
2.16.840.1.113730.3.4.14	"iPlanet Directory Server "search on specific backend" control"
2.16.840.1.113730.3.4.15	"Authentication Response Control"
2.16.840.1.113730.3.4.16	"Authentication Request Control"
2.16.840.1.113730.3.4.17	"Real Attributes Only Request Control"
2.16.840.1.113730.3.4.18	"Proxied Authorization (version 2) Control"
2.16.840.1.113730.3.4.999	"iPlanet Replication Modrdn Extra Mods Control"
2.16.840.1.113730.3.5.3		"iPlanet Start Replication Request Extended Operation"
2.16.840.1.113730.3.5.4		"iPlanet Replication Response Extended Operation"
2.16.840.1.113730.3.5.5		"iPlanet End Replication Request Extended Operation"
2.16.840.1.113730.3.5.6		"iPlanet Replication Entry Request Extended Operation"
2.16.840.1.113730.3.5.7		"iPlanet Bulk Import Start Extended Operation"
2.16.840.1.113730.3.5.8		"iPlanet Bulk Import Finished Extended Operation"
