# If you find some reliable and more meaningful descriptions to this OIDS,
# then please let the phpldapadmin development know so that this file can be
# more descriptive.

1.2.826.0.1.334810.2.3		"LDAP_CONTROL_VALUESRETURNFILTER"
2.16.840.1.113730.3.4.12	"Proxied Authorization (version 1) control" "draft-weltman-ldapv3-proxy-05" "For assuming the identity of another entry for the duration of a request. This has been replaced by a new 'version 2' Proxied Authorization control."
2.16.840.1.113730.3.4.13	"iPlanet Directory Server Replication Update Information Control"
2.16.840.1.113730.3.4.14	"iPlanet Directory Server 'search on specific backend' control"
2.16.840.1.113730.3.4.15	"Authentication Response Control"
2.16.840.1.113730.3.4.16	"Authentication Request Control"
2.16.840.1.113730.3.4.17	"Real Attributes Only Request Control"
2.16.840.1.113730.3.4.18	"LDAP Proxied Authorization Control" "draft-weltman-ldapv3-proxy-06.txt" "The Proxied Authorization Control allows a client to request that an operation be processed under a provided authorization identity [AUTH] instead of as the current authorization identity associated with the connection."
2.16.840.1.113730.3.4.19	"Virtual Attributes Only Request Control"
2.16.840.1.113730.3.4.20	"Use One Backend"
2.16.840.1.113730.3.4.999	"iPlanet Replication Modrdn Extra Mods Control"
2.16.840.1.113730.3.5.3		"iPlanet Start Replication Request Extended Operation"
2.16.840.1.113730.3.5.4		"iPlanet Replication Response Extended Operation"
2.16.840.1.113730.3.5.5		"iPlanet End Replication Request Extended Operation"
2.16.840.1.113730.3.5.6		"iPlanet Replication Entry Request Extended Operation"
2.16.840.1.113730.3.5.7		"iPlanet Bulk Import Start Extended Operation"
2.16.840.1.113730.3.5.8		"iPlanet Bulk Import Finished Extended Operation"
2.16.840.1.113730.3.5.9		"iPlanet Digest authentication calculation"
